Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_003708455.1	1552	1454	98	1	153	Kazachstania viticola NRRL Y-27206
GCA_003708465.1	1573	1499	74	6	127	Kazachstania kunashirensis NRRL Y-27209
GCA_003708495.1	1519	1479	40	20	167	Kazachstania aerobia NRRL Y-27976
GCA_003708525.2	1548	1508	40	11	147	Kazachstania unispora NRRL Y-1556
GCA_003708535.2	1598	1534	64	3	105	Kazachstania bromeliacearum NRRL Y-48836
GCA_003708545.1	1555	1495	60	7	144	Kazachstania turicensis NRRL Y-48834
GCA_003708585.1	1652	1647	5	0	54	Debaryomyces nepalensis NRRL Y-7108
GCA_003708605.2	1653	1650	3	3	50	Debaryomyces maramus NRRL Y-2171
GCA_003708615.1	1583	1582	1	9	114	[Candida] hawaiiana NRRL Y-27473
GCA_003708635.2	1497	1194	303	13	196	Magnusiomyces tetraspermus NRRL Y-7288 NRRL Y-7288
GCA_003708655.1	1492	1393	99	24	190	Dipodascus geniculatus NRRL Y-17628
GCA_003708665.2	1670	1666	4	2	34	Debaryomyces fabryi NRRL Y-17914
GCA_003708705.1	1595	1593	2	3	108	[Candida] tammaniensis NRRL Y-8257
GCA_003708715.2	1585	1584	1	5	116	[Candida] wancherniae NRRL Y-48709
GCA_003708745.2	1560	1558	2	6	140	[Candida] ascalaphidarum NRRL Y-27908
GCA_003708755.1	1564	1564	0	10	132	[Candida] golubevii NRRL Y-48707
GCA_003708765.1	1019	1015	4	21	666	Hanseniaspora sp. 'hatyaiensis' ZIM2327 Neza Cadez; ST-476
GCA_003708795.2	1635	1631	4	6	65	Cyberlindnera americana NRRL Y-2156
GCA_003708825.2	1585	1503	82	3	118	Kazachstania spencerorum NRRL Y-17920
GCA_003708835.2	1534	1488	46	12	160	Kazachstania solicola NRRL Y-27207
GCA_003708845.2	1557	1513	44	12	137	Kazachstania intestinalis NRRL Y-48847
GCA_003708865.1	1533	1494	39	14	159	Kazachstania taianensis NRRL Y-48846
GCA_003708905.2	1550	1511	39	11	145	Kazachstania siamensis NRRL Y-48842
GCA_003708925.2	1567	1490	77	11	128	Kazachstania martiniae NRRL Y-409
GCA_003708935.1	1658	1647	11	1	47	Debaryomyces prosopidis NRRL Y-27369
GCA_003708965.1	1666	1662	4	1	39	Debaryomyces subglobosus NRRL Y-6666
GCA_003708985.2	1583	1580	3	6	117	[Candida] gorgasii NRRL Y-27707
GCA_003709205.2	1605	1599	6	5	96	Ogataea zsoltii NRRL Y-27601
GCA_003709225.2	1630	1630	0	4	72	Priceomyces carsonii NRRL YB-4275
GCA_003709245.2	1625	1613	12	8	73	Cyberlindnera saturnus NRRL Y-17396
GCA_003709265.1	1489	1457	32	8	209	Kazachstania yakushimaensis NRRL Y-48837
GCA_003709285.1	1627	1546	81	3	76	Saccharomyces cerevisiae KSD-Yc
GCA_003719635.1	1528	1460	68	18	160	Saccharomyces cerevisiae Y169
GCA_003719665.1	1446	1388	58	47	213	Saccharomyces cerevisiae X55
GCA_003856775.1	1623	1619	4	5	78	Hyphopichia pseudoburtonii
GCA_003856795.1	1557	1553	4	15	134	Hyphopichia burtonii
GCA_004014935.1	1509	1498	11	10	187	Saccharomycopsis malanga KCN26
GCA_004114265.1	1630	1552	78	3	73	Saccharomyces cerevisiae SA1
GCA_004124885.1	1186	1184	2	35	485	Starmerella bombicola NRRL Y-17069
GCA_004124915.1	1231	1227	4	35	440	Starmerella kuoi NRRL Y-27208
GCA_004124955.1	1066	1064	2	77	563	Starmerella riodocensis NRRL Y-27859
GCA_004124965.1	1179	1177	2	34	493	Starmerella apicola NRRL Y-2481
GCA_004124975.1	1108	1101	7	62	536	Starmerella ratchasimensis CBS 10611
GCA_004124985.1	1003	1000	3	66	637	Starmerella davenportii CBS 9069
GCA_004125005.1	1143	1140	3	60	503	Starmerella sorbosivorans CBS 8768
GCA_004125055.1	1205	1201	4	57	444	Starmerella sp. 'tilneyi' CBS 8794
GCA_004125065.1	1266	1256	10	30	410	Wickerhamiella versatilis NRRL Y-6652
GCA_004125075.1	702	701	1	257	747	Starmerella gropengiesseri NRRL Y-17142
GCA_004125095.1	1304	1301	3	27	375	Wickerhamiella occidentalis NRRL Y-27364
GCA_004125105.1	1426	1419	7	19	261	Wickerhamiella hasegawae JCM 12559
GCA_004125145.1	1431	1423	8	15	260	Wickerhamiella infanticola NRRL Y-17858
GCA_004125165.1	1139	1138	1	71	496	Starmerella geochares NRRL Y-17073
GCA_004125175.1	1223	1221	2	44	439	Wickerhamiella domercqiae NRRL Y-6692
GCA_004125185.1	1209	1207	2	37	460	Starmerella vaccinii NRRL Y-17684
GCA_004125235.1	1175	1172	3	83	448	Wickerhamiella pararugosa NRRL Y-17089
GCA_004138035.1	1548	1479	69	25	133	Saccharomyces cerevisiae 222-1B-D1606
GCA_004195225.1	1524	1519	5	19	163	Cyberlindnera fabianii Ex2
GCA_004217705.1	1582	1580	2	10	114	Metschnikowia aff. pulcherrima APC 1.2
GCA_004287075.1	1591	1590	1	10	105	[Candida] auris RCPF-1821
GCA_004328465.1	1627	1544	83	4	75	Saccharomyces cerevisiae ySR128
GCA_004332445.1	1596	1559	37	7	103	[Candida] glabrata 44
GCA_004332455.1	1596	1561	35	9	101	[Candida] glabrata 40
GCA_004332465.1	1598	1562	36	6	102	[Candida] glabrata OL152
GCA_004334915.1	1561	1557	4	12	133	Candida orthopsilosis Co 90-125 Co 90-125
GCA_004352945.1	1622	1540	82	7	77	Saccharomyces paradoxus R23
GCA_004352955.1	1616	1533	83	6	84	Saccharomyces paradoxus WX20
GCA_004352965.1	1622	1538	84	6	78	Saccharomyces paradoxus LL2012_001
GCA_004353035.1	1620	1535	85	5	81	Saccharomyces paradoxus LL2012_016
GCA_004353095.1	1620	1534	86	6	80	Saccharomyces paradoxus LL2011_012
GCA_004353105.1	1620	1536	84	9	77	Saccharomyces paradoxus MSH-604
GCA_004359125.1	1610	1533	77	7	89	Saccharomyces cerevisiae IR-2idA30a
GCA_004919595.1	1590	1589	1	8	108	Kodamaea ohmeri
GCA_004919765.1	1004	996	8	28	674	Hanseniaspora lachancei NRRL Y-27514
GCA_004919775.1	1021	1019	2	18	667	Hanseniaspora guilliermondii NRRL Y-1625
GCA_004919785.1	952	788	164	31	723	Hanseniaspora jakobsenii ZIM 2603
GCA_004919795.1	1017	1015	2	24	665	Hanseniaspora sp. CRUB 1602 CRUB 1602
GCA_004919825.1	996	932	64	21	689	Hanseniaspora meyeri NRRL Y-27513
GCA_004919845.1	987	923	64	37	682	Hanseniaspora nectarophila CBS 13383
GCA_004919885.1	1409	1362	47	17	280	Hanseniaspora occidentalis var. citrica CBS 6783
GCA_004919895.1	1384	1378	6	18	304	Hanseniaspora occidentalis var. occidentalis NRRL Y-7946
GCA_004919915.1	985	961	24	31	690	Hanseniaspora thailandica ZIM 2325
GCA_004919925.1	1016	1013	3	12	678	Hanseniaspora uvarum NRRL Y-1614
GCA_004919945.1	1327	1323	4	52	327	Hanseniaspora vineae NRRL Y-17529
GCA_004931855.1	1410	1409	1	18	278	[Candida] inconspicua CBS 180
GCA_005234155.1	1308	1307	1	47	351	[Candida] auris LOM
GCA_005406065.1	1471	1469	2	21	214	Metschnikowia sp. JCM 33374 JCM 33374
GCA_005406105.1	1621	1620	1	6	79	Zygosaccharomyces mellis Ca-7
GCA_005406165.1	1470	1467	3	10	226	Pichia manshurica YM63
GCA_005890685.1	1459	1450	9	18	229	Candida albicans NCYC 4145
GCA_005890695.1	1326	1316	10	18	362	Candida albicans NCYC 4144
GCA_005890705.1	1401	1391	10	26	279	Candida albicans NCYC 4146
GCA_005890745.1	1604	1589	15	9	93	Candida albicans NCYC 4146
GCA_005890765.1	1597	1591	6	3	106	Candida albicans NCYC 4144
GCA_005890775.1	1594	1583	11	9	103	Candida albicans NCYC 4145
GCA_006942115.1	1621	1617	4	6	79	Scheffersomyces stipitis CBS 6054 CBS 6054
GCA_006942135.1	1510	1499	11	14	182	Candida tropicalis MYA-3404 MYA-3404
GCA_006942155.1	1612	1608	4	11	83	Meyerozyma guilliermondii ATCC 6260 ATCC 6260
GCA_006942205.1	1667	1662	5	3	36	Debaryomyces hansenii J26
GCA_006942215.1	1670	1665	5	3	33	Debaryomyces hansenii NRRL YB-398
GCA_006942225.1	1670	1665	5	1	35	Debaryomyces hansenii NRRL Y-17914
GCA_006942235.1	1668	1663	5	2	36	Debaryomyces hansenii NRRL Y-7426
GCA_006942305.1	1672	1667	5	2	32	Debaryomyces hansenii NRRL Y-1449
GCA_006942325.1	1669	1662	7	4	33	Debaryomyces hansenii NRRL YB-155
GCA_007168705.1	1597	1596	1	6	103	[Candida] auris JCM 15448
GCA_007556415.1	1532	1429	103	24	150	Saccharomyces cerevisiae NRRL Y-567
GCA_007556495.1	1627	135	1492	4	75	Zygosaccharomyces mellis
GCA_007844265.1	1573	1564	9	5	128	Yarrowia galli HXPF_0137
GCA_008000265.1	1601	1600	1	6	99	Kluyveromyces marxianus L03
GCA_008000345.1	1618	1614	4	11	77	Meyerozyma guilliermondii RP-YS-11
GCA_008062615.1	1631	1628	3	9	66	Meyerozyma guilliermondii SO
GCA_008065175.1	1556	1556	0	7	143	Metschnikowia caudata EBD-CdVSA57-2
GCA_008065185.1	1562	1562	0	6	138	Metschnikowia caudata EBD-CdVSA08-1
GCA_008065195.1	1577	1576	1	12	117	Metschnikowia amazonensis UFMG-CM-6309
GCA_008065205.1	1578	1577	1	12	116	Metschnikowia amazonensis UFMG-CM-6307
GCA_008065245.1	1591	1591	0	6	109	Metschnikowia agaves UWOPS 92-207.1
GCA_008065255.1	1586	1586	0	8	112	Metschnikowia agaves UWOPS 92-210.1
GCA_008275145.1	1484	1483	1	28	194	[Candida] auris B11245
GCA_008704595.1	1466	1463	3	17	223	Diutina rugosa CBS 613
GCA_008704605.1	1605	1593	12	4	97	Trichomonascus ciferrii CBS 4856
GCA_008729165.1	1600	1599	1	6	100	[Candida] auris 288
GCA_008729175.1	1599	1598	1	5	102	[Candida] auris 214
GCA_008729195.1	1597	1596	1	6	103	[Candida] auris 394-1
GCA_008729205.1	1599	1598	1	6	101	[Candida] auris 367
GCA_008729255.1	1596	1595	1	7	103	[Candida] auris 394-2
GCA_008729275.1	1593	1592	1	7	106	[Candida] auris 394-3
GCA_008764215.1	1605	1602	3	4	97	Candida parapsilosis DE0235
GCA_008802755.1	1536	1502	34	12	158	Kazachstania servazzii UCD335
GCA_008802765.1	1537	1501	36	10	159	Kazachstania servazzii UCD13
GCA_008904905.1	1274	1242	32	58	374	Candida metapsilosis ATCC 96143
GCA_008973615.1	1601	1601	0	8	97	Kluyveromyces sp. TMB-2019a UFMG-CM-Y3682
GCA_009014655.1	1615	1537	78	10	81	Saccharomyces cerevisiae Pf-1
GCA_009194645.1	1582	1573	9	7	117	Yarrowia lipolytica YlCW001
GCA_009281745.1	1634	1629	5	6	66	Cyberlindnera americana ChDrAdgY46
GCA_009372015.1	1583	1575	8	7	116	Yarrowia lipolytica PO1f
GCA_009394695.1	1528	1502	26	6	172	Kazachstania telluris UCD400
GCA_009498055.1	1602	1599	3	7	97	Clavispora lusitaniae P1
GCA_009498075.1	1599	1596	3	7	100	Clavispora lusitaniae P2
GCA_009498095.1	1600	1591	9	7	99	Clavispora lusitaniae P3
GCA_009498115.1	1600	1591	9	7	99	Clavispora lusitaniae P5
GCA_009498135.1	1600	1597	3	7	99	Clavispora lusitaniae P4
GCA_009602605.1	1602	1601	1	7	97	[Candida] auris CA_HTX1
GCA_009663155.1	0	0	0	9	1697	Saccharomyces cerevisiae YAF155
GCA_009663225.1	16	16	0	132	1558	Saccharomyces cerevisiae YAF129
GCA_009663235.1	126	125	1	299	1281	Saccharomyces cerevisiae YAF140
GCA_009663245.1	2	2	0	58	1646	Saccharomyces cerevisiae YAF153
GCA_009663275.1	1595	1507	88	8	103	Saccharomyces cerevisiae YAF064
GCA_009663385.1	254	242	12	327	1125	Saccharomyces cerevisiae YAF019
GCA_009664425.1	5	5	0	90	1611	Saccharomyces cerevisiae YAF156
GCA_009665535.1	1625	738	887	6	75	Saccharomyces cerevisiae x Saccharomyces kudriavzevii yHCT142
GCA_009665545.1	1628	1397	231	8	70	Saccharomyces cerevisiae x Saccharomyces kudriavzevii FM64
GCA_009665555.1	1635	214	1421	6	65	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL630
GCA_009665565.1	1633	211	1422	8	65	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT145
GCA_009665575.1	1626	297	1329	11	69	Saccharomyces cerevisiae x Saccharomyces eubayanus yHDD49
GCA_009665625.1	1630	292	1338	6	70	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB213
GCA_009665675.1	1629	275	1354	7	70	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB25
GCA_009665685.1	1634	214	1420	7	65	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL629
GCA_009665705.1	1631	202	1429	7	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL628
GCA_009665725.1	1629	209	1420	8	69	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB28
GCA_009665755.1	1627	288	1339	12	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT135
GCA_009665795.1	1634	249	1385	5	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL627
GCA_009665865.1	1634	210	1424	6	66	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL626
GCA_009665875.1	1633	312	1321	6	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL625
GCA_009665895.1	1598	275	1323	6	102	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT134
GCA_009665905.1	1636	203	1433	3	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL624
GCA_009665985.1	1627	727	900	8	71	Saccharomyces cerevisiae x Saccharomyces kudriavzevii yHQL621
GCA_009665995.1	1630	216	1414	7	69	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL620
GCA_009666015.1	1631	200	1431	7	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB589
GCA_009666025.1	1633	243	1390	7	66	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL618
GCA_009666085.1	1614	243	1371	6	86	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB37
GCA_009666095.1	1609	323	1286	24	73	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL617
GCA_009666115.1	1630	200	1430	8	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB53
GCA_009666145.1	1627	238	1389	11	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB50
GCA_009666185.1	1634	215	1419	6	66	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL616
GCA_009666195.1	1632	229	1403	8	66	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT131
GCA_009666255.1	1633	219	1414	8	65	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB32
GCA_009666265.1	1624	765	859	7	75	Saccharomyces cerevisiae x Saccharomyces kudriavzevii yHAB44
GCA_009666275.1	1632	182	1450	3	71	Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces uvarum yHAB34
GCA_009666335.1	1626	1543	83	7	73	Saccharomyces eubayanus x Saccharomyces uvarum yHQL522
GCA_009666355.1	1602	221	1381	3	101	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT132
GCA_009666385.1	1632	1548	84	5	69	Saccharomyces eubayanus x Saccharomyces uvarum yHQL555
GCA_009666405.1	1622	510	1112	12	72	Saccharomyces eubayanus x Saccharomyces uvarum yHQL554
GCA_009666445.1	1627	1155	472	4	75	Saccharomyces eubayanus x Saccharomyces uvarum yHQL561
GCA_009666465.1	1635	131	1504	4	67	Saccharomyces cerevisiae x Saccharomyces kudriavzevii x Saccharomyces eubayanus yHQL560
GCA_009666475.1	1619	1040	579	10	77	Saccharomyces eubayanus x Saccharomyces uvarum yHQL559
GCA_009666495.1	1640	198	1442	2	64	Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum yHQL557
GCA_009666535.1	1589	1374	215	30	87	Saccharomyces eubayanus x Saccharomyces uvarum yHQL556
GCA_009666575.1	1632	245	1387	5	69	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL582
GCA_009666585.1	1629	1146	483	7	70	Saccharomyces eubayanus x Saccharomyces uvarum yHQL581
GCA_009666635.1	1632	207	1425	7	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHQL619
GCA_009666655.1	1630	274	1356	7	69	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB38
GCA_009666665.1	1633	243	1390	5	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB585
GCA_009666725.1	1629	223	1406	9	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHAB36
GCA_009666755.1	1619	1538	81	11	76	Saccharomyces eubayanus x Saccharomyces uvarum yHQL570
GCA_009666765.1	1379	705	674	108	219	Saccharomyces eubayanus x Saccharomyces uvarum yHQL558
GCA_009666845.1	1609	592	1017	13	84	Saccharomyces eubayanus x Saccharomyces uvarum yHQL573
GCA_009666865.1	1607	1036	571	13	86	Saccharomyces eubayanus x Saccharomyces uvarum yHQL569
GCA_009666875.1	1624	215	1409	14	68	Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum yHQL568
GCA_009666905.1	1629	1304	325	7	70	Saccharomyces eubayanus x Saccharomyces uvarum yHQL567
GCA_009666955.1	1608	1339	269	13	85	Saccharomyces eubayanus x Saccharomyces uvarum yHQL566
GCA_009666965.1	1628	123	1505	7	71	Saccharomyces eubayanus x Saccharomyces uvarum yHQL565
GCA_009667045.1	1619	1538	81	11	76	Saccharomyces eubayanus x Saccharomyces uvarum yHQL564
GCA_009667055.1	1642	89	1553	3	61	Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum yHQL563
GCA_009667075.1	1618	763	855	11	77	Saccharomyces eubayanus x Saccharomyces uvarum yHQL580
GCA_009667125.1	1626	577	1049	6	74	Saccharomyces cerevisiae x Saccharomyces eubayanus FM471
GCA_009667145.1	1499	1433	66	4	203	Saccharomyces eubayanus x Saccharomyces uvarum yHQL572
GCA_009667195.1	1612	1406	206	4	90	Saccharomyces eubayanus x Saccharomyces uvarum FM473
GCA_009667215.1	1636	375	1261	7	63	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT111
GCA_009667225.1	1628	1118	510	3	75	Saccharomyces cerevisiae x Saccharomyces eubayanus FM1203
GCA_009667275.1	1625	1542	83	7	74	Saccharomyces eubayanus x Saccharomyces uvarum yHCT110
GCA_009667295.1	1633	202	1431	5	68	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT133
GCA_009667335.1	1635	399	1236	5	66	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT80
GCA_009667345.1	1633	454	1179	6	67	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT79
GCA_009667385.1	1622	1526	96	5	79	Saccharomyces eubayanus x Saccharomyces uvarum yHQL562
GCA_009667415.1	1641	382	1259	0	65	Saccharomyces cerevisiae x Saccharomyces kudriavzevii W27
GCA_009667515.1	1626	863	763	7	73	Saccharomyces cerevisiae x Saccharomyces eubayanus yHCT83
GCA_009667545.1	1630	771	859	5	71	Saccharomyces cerevisiae x Saccharomyces kudriavzevii yHQL783
GCA_009707815.1	1486	1454	32	8	212	Wickerhamomyces anomalus LBCM1105
GCA_009738405.1	796	768	28	206	704	Saccharomyces cerevisiae SK23
GCA_009746055.1	1580	657	923	10	116	Metschnikowia citriensis FL01
GCA_009756405.1	1625	1622	3	9	72	Meyerozyma guilliermondii YLG18
GCA_009756535.1	1564	1562	2	10	132	Metschnikowia sp. UFMG-CM-y6306 UFMG-CM-y6306
GCA_009756545.1	1554	1552	2	13	139	Metschnikowia dekortorum UWOPS 01-522a5
GCA_009756565.1	1561	1559	2	12	133	Metschnikowia sp. UWOPS 03-167b3 UWOPS 03-167b3
GCA_009756645.1	1561	1558	3	10	135	Metschnikowia sp. UWOPS 12.619.2 UWOPS 12.619.2
GCA_009805625.1	1631	1547	84	4	71	Saccharomyces cerevisiae YPS128
GCA_009805645.1	1627	1542	85	4	75	Saccharomyces paradoxus CBS 432
GCA_009805665.1	1620	1538	82	6	80	Saccharomyces cerevisiae RM11-1a
GCA_009805715.1	1003	1001	2	20	683	Hanseniaspora uvarum H4
GCA_009805765.1	1015	1012	3	13	678	Hanseniaspora uvarum H20
GCA_009805785.1	1016	1013	3	12	678	Hanseniaspora uvarum H2
GCA_009932455.1	1426	1187	239	55	225	Metschnikowia pulcherrima Bath1
GCA_010111755.1	1600	1562	38	4	102	[Candida] glabrata ATCC 2001
GCA_010356925.1	1625	1543	82	6	75	Saccharomyces cerevisiae INSC1005
GCA_010356935.1	1628	1544	84	5	73	Saccharomyces cerevisiae INSC1006
GCA_010994365.1	1395	1382	13	16	295	Saccharomycopsis schoenii CBS 7425
GCA_010994405.1	1510	1496	14	9	187	Saccharomycopsis crataegensis CBS 6447
GCA_011022315.1	1632	259	1373	4	70	Saccharomyces pastorianus CBS 1483
GCA_011037055.1	1618	1605	13	3	85	Candida albicans H892
GCA_011074765.1	1448	1442	6	15	243	Brettanomyces custersianus CBS 4805
GCA_011074775.1	1531	1524	7	10	165	Brettanomyces naardenensis CBS 6042
GCA_011074815.1	1397	1381	16	32	277	Brettanomyces anomalus CBS 8139
GCA_011074865.2	1515	1510	5	10	181	Brettanomyces nanus CBS 1945
GCA_011074885.1	1477	1472	5	7	222	Brettanomyces bruxellensis UCD 2041
GCA_011316035.2	1528	1523	5	12	166	Candida parapsilosis 90-137
GCA_011316215.1	1627	1548	79	2	77	Saccharomyces cerevisiae KCCM51299
GCA_011393095.1	667	661	6	292	747	Saccharomyces cerevisiae YJM428 YJM428
GCA_011393105.1	1572	1506	66	11	123	Saccharomyces cerevisiae YJM280 YJM280
GCA_011393115.1	1518	1471	47	36	152	Saccharomyces cerevisiae WE372 WE372
GCA_011393125.1	1095	1068	27	134	477	Saccharomyces cerevisiae Y9 Y9
GCA_011393135.1	1617	1537	80	5	84	Saccharomyces cerevisiae YJM320 YJM320
GCA_011393155.1	1486	1426	60	35	185	Saccharomyces cerevisiae YJM653 YJM653
GCA_011393185.1	1585	1514	71	15	106	Saccharomyces cerevisiae YJM326 YJM326
GCA_011393195.1	1609	1540	69	8	89	Saccharomyces cerevisiae I14 I14
GCA_011393215.1	1492	1444	48	40	174	Saccharomyces cerevisiae YPS1009 YPS1009
GCA_011393235.1	1629	1546	83	5	72	Saccharomyces cerevisiae YJM421 YJM421
GCA_011393275.1	1628	1547	81	3	75	Saccharomyces cerevisiae Y12 Y12
GCA_011420275.1	1590	1436	154	11	105	Geotrichum candidum B1101
GCA_011426285.1	1596	1595	1	5	105	[Candida] haemuloni BMU05228
GCA_011426315.1	1585	1580	5	4	117	[Candida] duobushaemulonis BMU05314
GCA_011751505.1	1420	1419	1	15	271	Tortispora sangerardonensis UWOPS 00-157.1
GCA_011799815.1	1600	1523	77	8	98	Saccharomyces cerevisiae Jean-Talon
GCA_012062855.1	1525	1501	24	9	172	Saccharomycopsis fibuligera MBY1320
GCA_012184645.1	1597	1595	2	5	104	[Candida] haemuloni var. vulnera K1
GCA_012184655.1	1599	1597	2	5	102	[Candida] haemuloni var. vulnera K2
GCA_012275245.1	1594	1404	190	12	100	Saccharomyces cerevisiae FDAARGOS_613
GCA_012295335.1	1475	1470	5	8	223	Brettanomyces custersianus CRL-53
GCA_012295355.1	1542	1536	6	7	157	Brettanomyces naardenensis CRL-65
GCA_012295365.1	1218	1211	7	42	446	Brettanomyces anomalus CRL-49
GCA_012295375.1	1411	1306	105	24	271	Brettanomyces bruxellensis CRL-50
GCA_012654145.1	1584	1575	9	6	116	Yarrowia lipolytica W29
GCA_012850905.1	1616	1528	88	2	88	Naumovozyma castellii Y668
GCA_012850925.1	1619	1527	92	0	87	Naumovozyma castellii Y287
GCA_012850935.1	1610	1521	89	5	91	Naumovozyma castellii Y174
GCA_012850965.1	1611	1517	94	7	88	Naumovozyma castellii Y056
GCA_012851005.1	1632	1630	2	4	70	Torulaspora pretoriensis UWOPS 83-1046.2
GCA_012851035.1	1622	1621	1	8	76	Torulaspora pretoriensis CBS 11123
GCA_012851045.1	1625	1624	1	9	72	Torulaspora pretoriensis CBS 11124
GCA_012851065.1	1622	1621	1	8	76	Torulaspora pretoriensis CBS 11121
GCA_012851095.1	1625	1624	1	9	72	Torulaspora pretoriensis CBS 11100
GCA_012851105.1	1631	1629	2	5	70	Torulaspora pretoriensis CBS 9333
GCA_012851155.1	1627	1625	2	10	69	Torulaspora pretoriensis CBS 5080
GCA_012851165.1	1633	1632	1	5	68	Torulaspora delbrueckii NCYC696
GCA_012851195.1	1632	1630	2	8	66	Torulaspora pretoriensis CBS 2785
GCA_012851205.1	1632	1630	2	4	70	Torulaspora pretoriensis CBS 2187
GCA_012851235.1	1632	1630	2	5	69	Torulaspora delbrueckii L20
GCA_012851245.1	1634	1632	2	5	67	Torulaspora delbrueckii L19
GCA_012851265.1	1636	1635	1	5	65	Torulaspora delbrueckii L16
GCA_012851275.1	1637	1636	1	5	64	Torulaspora delbrueckii L18
GCA_012851295.1	1632	1630	2	5	69	Torulaspora delbrueckii L15
GCA_012851345.1	1628	1627	1	4	74	Torulaspora delbrueckii L13
GCA_012851365.1	1633	1632	1	6	67	Torulaspora delbrueckii L12
GCA_012851405.1	1633	1632	1	6	67	Torulaspora delbrueckii L09
GCA_012851425.1	1627	1625	2	5	74	Torulaspora delbrueckii L11
GCA_012851435.1	1633	1632	1	6	67	Torulaspora delbrueckii L10
GCA_013047185.1	1622	1547	75	6	78	Saccharomyces cerevisiae YJM451 YJM451
GCA_013177575.1	1575	1554	21	2	129	Candida sojae NCYC-2607
GCA_013179775.1	1587	254	1333	5	114	Saccharomyces pastorianus CBS 1483
GCA_013179785.1	1254	1217	37	193	259	Saccharomyces uvarum ZP 646
GCA_013179815.1	1620	1552	68	14	72	Saccharomyces uvarum ZP 853
GCA_013179845.1	1627	228	1399	9	70	Saccharomyces pastorianus W34/70
GCA_013179855.1	1495	1435	60	66	145	Saccharomyces uvarum SAUV_RC415
GCA_013179865.1	1624	212	1412	8	74	Saccharomyces pastorianus Weihenstephan 34/70 Weihenstephan 34/70
GCA_013179935.1	1451	1389	62	84	171	Saccharomyces uvarum SAUV_PM12
GCA_013179955.1	1626	1559	67	9	71	Saccharomyces uvarum PJS 9
GCA_013179965.1	1584	1531	53	22	100	Saccharomyces uvarum PJS 2-95
GCA_013180005.1	1623	1538	85	10	73	Saccharomyces uvarum SAUV_PJP3
GCA_013180045.1	1625	1506	119	9	72	Saccharomyces cerevisiae AWRI2880
GCA_013180055.1	1620	1555	65	10	76	Saccharomyces uvarum NCAIM 01116
GCA_013180065.1	1618	1507	111	10	78	Saccharomyces bayanus NCAIM 676
GCA_013180125.1	1501	1431	70	3	202	Saccharomyces bayanus NBRC1948 NBRC1948
GCA_013180165.1	1630	1547	83	3	73	Saccharomyces bayanus FM1309
GCA_013180185.1	1636	151	1485	3	67	Saccharomyces cerevisiae x Saccharomyces uvarum Muri
GCA_013180195.1	1624	1558	66	11	71	Saccharomyces uvarum M 488
GCA_013180235.1	1630	1550	80	8	68	Saccharomyces uvarum GM 14
GCA_013180255.1	1628	1554	74	7	71	Saccharomyces uvarum DBVPG 7787
GCA_013180345.1	1620	1555	65	12	74	Saccharomyces uvarum DBVPG 7786
